"","name","wilcoxP","cdEst","cdMag"
"326","larceny-oldimport",0.709092956024791,-0.0131930747315363,"negligible"
"327","leiningen",0.491587302509631,0.0201139601139601,"negligible"
"328","Lemo-Data-Management-Server",0.0382119091919018,0.0635875520490905,"negligible"
"329","lenskit",1.30960336886472e-07,0.164205566513259,"small"
"330","Liberty",2.78526917388806e-06,0.145638834100373,"negligible"
"331","libguestfs",0.0436077330715198,0.0618693841770765,"negligible"
"332","libidn",8.99683727305668e-05,0.121461757615604,"negligible"
"333","libming",0.0370565493887971,0.0639798378259917,"negligible"
"334","libsdl",6.73305653699389e-75,0.57336620644313,"large"
"335","linphone_linux_XIA",0.0559290311356897,-0.0614902476440938,"negligible"
"336","LNReader-Android",0.563424196270502,-0.0196186719263642,"negligible"
"337","log4j",6.32763825265794e-11,-0.206653517422748,"small"
"338","lor-jamwiki",0.799730206443845,0.00648915187376726,"negligible"
"339","lpzrobots",0.00216945446392718,0.0947731755424063,"negligible"
"340","lsml",0.62239926179032,0.0139842209072978,"negligible"
"341","LT-Jbilling-MsgQ-3",0.848630882125697,-0.00747315362699978,"negligible"
"342","ltfat",0.249708428413387,0.0346570238877931,"negligible"
"343","luaj",0.00954655622142173,0.0798904229673461,"negligible"
"344","lucene_solr",0.714503781442179,0.0100087661626123,"negligible"
"345","luci",NA,NA,NA
"346","lwjgl",0.054721290469625,0.0588297172912558,"negligible"
"347","mahout",0.151949623552616,-0.0464562787639711,"negligible"
"348","mahout-commits",0.681955900939487,-0.0143436335744028,"negligible"
"349","Malhar",0.413086472796726,0.0242165242165242,"negligible"
"350","maptool",0.00809113620456531,0.0816568047337278,"negligible"
"351","marc-solr-profiling",2.40684633639453e-09,0.185875520490905,"small"
"352","Markus",0.450449318168992,0.022215647600263,"negligible"
"353","Marlin_ExtruderAutoFan",0.994095662925943,-0.00124479509094894,"negligible"
"354","marytts",1.70927757496373e-21,-0.30037694499233,"small"
"355","maven-release",7.91250200373122e-07,0.153521805829498,"small"
"356","mcidasv",0.442196780651867,0.0226473811089196,"negligible"
"357","mDNSResponder",1.1159606009494e-83,0.607012930089853,"large"
"358","MDSplus",0.329217866328128,0.0291518737672584,"negligible"
"359","mediacloud",0.534752927275103,0.0180122726276572,"negligible"
"360","melati",0.466614793840976,0.0213762875301337,"negligible"
"361","mesos",0.959466538762103,0.000118343195266273,"negligible"
"362","META-SHARE",0.685236697894659,0.0112513697129082,"negligible"
"363","metadata",1.2853186573938e-06,0.150528161297392,"small"
"364","mifos-head",0.0025612331449186,0.0932325224632917,"negligible"
